"","g76_84pr","stnum2"
"1",0.517333328723907,1
"2",0.66100001335144,2
"3",0.646333336830139,3
"4",0.488333344459534,4
"5",0.562000036239624,5
"6",0.61300003528595,6
"7",0.564000010490417,7
"8",0.528333365917206,8
"9",0.152999997138977,9
"10",0.569666624069214,10
"11",0.451333343982697,11
"12",0.510999977588654,12
"13",0.691666662693024,13
"14",0.533666670322418,14
"15",0.586333334445953,15
"16",0.522666692733765,16
"17",0.614666640758514,17
"18",0.524333357810974,18
"19",0.537999987602234,19
"20",0.544666647911072,20
"21",0.493999987840652,21
"22",0.477999985218048,22
"23",0.554666697978973,23
"24",0.471333354711533,24
"25",0.540333330631256,25
"26",0.529333353042603,26
"27",0.596000015735626,27
"28",0.677333354949951,28
"29",0.631666660308838,29
"30",0.638999998569489,30
"31",0.563333332538605,31
"32",0.571333348751068,32
"33",0.510999977588654,33
"34",0.524999976158142,34
"35",0.632333338260651,35
"36",0.549333333969116,36
"37",0.608666658401489,37
"38",0.539333343505859,38
"39",0.521333336830139,39
"40",0.467000007629395,40
"41",0.525333285331726,41
"42",0.598666667938232,42
"43",0.506333351135254,43
"44",0.561333358287811,44
"45",0.726999998092651,45
"46",0.560999989509583,46
"47",0.566999971866608,47
"48",0.552333295345306,48
"49",0.483666658401489,49
"50",0.521000027656555,50
"51",0.667666673660278,51
